Campaign_No,Campaign_ID,Campaign_Name,Brand,Agent_Status,Start date,Date,Channel,Region,Gender,Age,CTR (%),CPC (_),RoAS,Reach,Frequency (x),Conversion,CPA (_),Conversion Rate (%),Engagement Rate (%),Campaign_Ideation_Time (days),AB_Test_Completion (days),Creative_Refresh_Time (days),Budget_Reallocation_Time (hrs),Optimization_Response_Time (mins),Personalization_Deployment_Time (hrs),Alert_Type,Threshold_Triggered,Auto_Action_Taken,Approval_Status,Business_Impact (_/%),Alert_Timestamp,Pre_Agent_Value,Post_Agent_Value,Improvement (%),Industry_Avg,Vs_Industry (%),Agent_Automated (%),Auto_Optimizations_Today,Avg_Response_Time (mins),Competitor_Share_of_Voice (%),Competitor_Action_Flag,Sentiment_Score (-1 to +1),Top_Consumer_Keyword,Media_Spend (_),Cost_Per_Engagement (_),Drop_off_Cart (%),Bounce_Rate (%),Seasonality_Flag,Influencer_Collaboration_Flag,Regulatory_Risk_Flag,Crisis_Alert_Flag,Brand_Awareness_Lift (%),Net_Promoter_Score (NPS),Forecasted_Conversions (7d),Forecasted_RoAS (7d),Agent_Recommendation_Flag
Campaign 36,CAMP0011,Summer Splash,Brand X Herbal,Agent,2024-01-01,2024-01-11,LinkedIn,Tier-3,Female,35,4.627047619,14.16517857,4.249904762,97309,6.36,3732,179.64,11.8072381,16.25,10.83333333,9.077380952,10.35714286,4.05,64.79166667,16.175,Fatigue Detected,CTR < 2%,Bid Reduced,Auto-resolved,432121.26,2024-01-01 00:00:00,2.656190476,4.249904762,60,57.47,53.61942857,81.39,18,3,47.16384615,N,0.01,Festive,3858027.1,243.98,5.08,31.94,Holiday,N,N,N,19.21371429,-19,920,2.83,Optimize
Campaign 38,CAMP0012,Winter Warmth,Brand X Organic,Manual,2024-01-01,2024-01-12,Facebook,Pan-India,All,49,2.95,38.14,3.97,2709,5.26,4614,1189.89,13.22,18.49,20,17,7,4.34,128,35.05,CTR Dip,RoAS < 1,Budget Increased,Auto-resolved,339911.01,2024-02-27 00:00:00,14.14,51.99,267.68,33.31,18.68,15,3,70,29.23076923,Y,-0.02,Premium,97638.99,194.93,100,85.58,Festival,N,N,N,9.04,-7,87,4.06,Scale Up
Campaign 43,CAMP0013,Summer Splash,Brand X Herbal,Agent,2024-01-01,2024-01-13,Facebook,Metro Cities,All,31,4.85,15.4297619,4.565333333,114269.3333,8.5,3784,562.64375,9.315047619,18.32533333,10.83333333,8.095238095,10.86309524,7.976785714,63.57142857,13.29136905,Conversion Slowdown,RoAS < 1,Creative Refreshed,Approved,302231.7608,2024-04-13 00:00:00,2.853333333,4.565333333,60,47.18,85.74,70,17,7,44.08692308,N,0.22,Savings,714195.71,2166.66,21.22,31.88,Off-season,N,N,Y,19.55809524,19.74761905,661,1.4,Pause
Campaign 18,CAMP0014,Monsoon Mania,Brand X Classic,Manual,2024-01-01,2024-01-14,YouTube,Tier-2,Male,28,3.12,22.29,4.92,5733,7.69,177,1483.38,4.81,15.81,9,6,11,21.75,134,40.82,Conversion Slowdown,CTR < 2%,Bid Reduced,Auto-resolved,44928.5,2024-04-29 00:00:00,56.54,84.84,50.05,49.58,35.26,15,2,64,38.46153846,N,-0.06,Digital,134145.93,148,3.82,95.42,Off-season,Y,N,N,9.89,-2,189,5.39,Scale Up
Campaign 46,CAMP0015,Monsoon Mania,Brand X Premium,Agent,2024-01-01,2024-01-15,Instagram,Tier-3,All,31,3.268,12.56354167,3.888,144227.9333,1.95,3483.933333,628.0341146,9.588,12.08733333,10.13020833,8.020833333,11.5625,4.71,64.03645833,15.84479167,Fatigue Detected,CTR < 2%,Creative Refreshed,Approved,367972.892,2024-11-21 00:00:00,2.43,3.888,60,50.77,52.09858333,70,5,35.75520833,47.16384615,Y,0.16,Discount,2693926.16,2027.25,4,31.86,Regular,Y,N,Y,20.08733333,19.74761905,757,1.07,Pause
Campaign 31,CAMP0016,Festive Fiesta,Brand X Herbal,Agent,2024-01-01,2024-01-16,Google Ads,Tier-2,Male,40,4.99,12.42458333,3.743466667,99700.48,4.13,4705.76,641.1222917,12.14666667,14.33493333,9.145833333,6.958333333,10.60416667,8.249583333,61.70833333,16.66395833,Fatigue Detected,CTR < 2%,Paused,Auto-resolved,425609.4672,2024-08-26 00:00:00,2.339666667,3.743466667,60,83.74,33.0694,70,14,5,74.85615385,N,0.2,Premium,1035483.74,405.55,9.14,31.82,Festival,N,N,N,19.3856,19.74761905,884,3.15,Scale Up
Campaign 33,CAMP0017,Monsoon Mania,Brand X Organic,Manual,2024-01-01,2024-01-17,Instagram,Metro Cities,Female,36,3.41,47.56,4.86,7646,9.86,2986,1285.73,0.8,5.15,22,18,17,5.8,109,7.99,Budget Cap,RoAS < 1,Creative Refreshed,Pending,259253.28,2024-11-23 00:00:00,38.74,137.04,253.74,67.98,69.06,15,3,116,29.23076923,N,-0.22,Premium,382703.66,971.9,44.4,99.29,Festival,N,N,Y,10.22,-34,87,4.86,Scale Up
Campaign 31,CAMP0018,Festive Fiesta,Brand X Classic,Agent,2024-01-01,2024-01-18,LinkedIn,Tier-2,Female,36,4.38,15.44816176,4.166588235,117035.2941,3.13,3384,652.6823529,10.49788235,15.91152941,7.352941176,5,9.411764706,8.510294118,55,12.425,CTR Dip,Conv < 100,Paused,Pending,284280.8395,2024-07-22 00:00:00,2.604117647,4.166588235,60,40,47.18541176,93.36,5,43.97058824,66.39461538,N,0.28,Discount,1536699.51,551.43,11.54,31.78,Holiday,N,N,N,19.67152941,19.74761905,613,3.88,Scale Up
Campaign 3,CAMP0019,Summer Splash,Brand X Organic,Manual,2024-01-01,2024-01-19,YouTube,Tier-2,All,18,1.76,49.74,4.8,94637,2.34,3519,1527.97,0.81,3.04,21,9,17,22.03,26,4.71,Fatigue Detected,Budget > 80%,Bid Reduced,Pending,180343.94,2024-02-07 00:00:00,51.53,132.23,156.61,83.64,48.59,15,3,43,47.69230769,N,-0.25,Discount,4784417.27,1663.01,4.96,99.14,Regular,N,N,Y,13.1,-21,88,4.99,Scale Up
Campaign 22,CAMP0020,Summer Splash,Brand X Classic,Manual,2024-01-01,2024-01-20,YouTube,Tier-3,All,24,1.12,20.24,3.01,92210,9.64,282,1296.75,0.23,12.14,22,18,11,11.94,151,40.64,Conversion Slowdown,RoAS < 1,Budget Increased,Approved,358597.52,2024-11-09 00:00:00,31.66,145.2,358.62,31.07,114.13,15,3,8,53.07692308,N,-0.12,Digital,2027034.2,181.08,0.45,99.74,Regular,Y,N,N,13.07,-16,326,3.06,Scale Up
Campaign 3,CAMP0021,Summer Splash,Brand X Classic,Manual,2024-01-01,2024-01-21,Google Ads,Metro Cities,Female,29,0.79,48.21,2.9,20564,8.09,2774,997.64,11.73,3.86,28,16,20,3.35,113,36.02,CTR Dip,CTR < 2%,Creative Refreshed,Auto-resolved,343969.28,2024-02-09 00:00:00,64.98,62.66,-3.57,75.57,-12.91,15,3,85,44.61538462,N,-0.24,Premium,1013887.99,1277.31,15.86,90,Off-season,N,N,Y,11.35,-21,88,3.07,Optimize
Campaign 24,CAMP0022,Festive Fiesta,Brand X Organic,Agent,2024-01-01,2024-01-22,Google Ads,Tier-3,Female,50,5.99,15.31572581,3.836903226,116736.671,9.24,4130.941935,651.9635081,11.85,15.49832258,11.08870968,8.286290323,11.12903226,7.18125,56.59274194,14.17923387,Budget Cap,CTR < 2%,Budget Increased,Pending,368828.5817,2024-07-06 00:00:00,2.398064516,3.836903226,60,31.26,65.04,96.14,5,36.61290323,50.24076923,N,0.17,NewLaunch,1303634.44,327.98,1.48,31.73,Holiday,N,N,N,19.52,19.74761905,328,3.41,Scale Up
Campaign 17,CAMP0023,Summer Splash,Brand X Herbal,Manual,2024-01-01,2024-01-23,Instagram,Pan-India,All,48,3.96,6.17,1.56,18196,1.43,1876,1709.08,4.17,1.13,11,11,11,19.76,19,46.53,Conversion Slowdown,Budget > 80%,Paused,Auto-resolved,484093.7,2024-12-10 00:00:00,39.82,133.53,235.33,62.39,71.14,15,3,28,50,Y,-0.28,Premium,131560.92,639.84,11.88,95.31,Off-season,Y,N,Y,11.21,-16,88,1.7,Optimize
Campaign 33,CAMP0024,Summer Splash,Brand X Premium,Manual,2024-01-01,2024-01-24,Instagram,Metro Cities,Male,37,2.64,14.1,3.31,18115,2.92,2041,562.28,10.3,11.02,21,16,8,17.34,93,17.64,RoAS Drop,Budget > 80%,Bid Reduced,Pending,47817.33,2024-08-21 00:00:00,31.89,56.08,75.85,77.97,-21.89,15,3,42,50.76923077,N,-0.13,Festive,223158.69,111.79,13.49,89.34,Festival,Y,N,N,11.21,-12,89,3.43,Scale Up
Campaign 43,CAMP0025,Winter Warmth,Brand X Premium,Manual,2024-01-01,2024-01-25,Facebook,Tier-2,Male,33,2.46,6.42,2.94,94970,7.12,3648,230.73,6.94,18.07,8,19,28,18.63,46,34.63,CTR Dip,Budget > 80%,Budget Increased,Pending,302458.6,2024-09-03 00:00:00,88.76,119.08,34.16,37.75,81.33,15,2,35,43.07692308,N,-0.03,Savings,594308.64,34.63,4.6,92.34,Regular,N,N,N,13.1,8,89,3.09,Optimize
Campaign 1,CAMP0026,Summer Splash,Brand X Classic,Manual,2024-01-01,2024-01-26,Instagram,Tier-2,Female,28,2.8,13.78,4.03,58528,7.48,2197,1235.32,5.28,18.37,28,7,14,7.37,131,41.97,Conversion Slowdown,Conv < 100,Paused,Pending,472625.25,2024-01-05 00:00:00,55.32,117.23,111.91,71.01,46.22,15,3,116,43.84615385,N,-0.02,Savings,771797.62,71.78,5.45,95.39,Holiday,Y,Y,N,12.55,6,89,4.19,Scale Up
Campaign 43,CAMP0027,Monsoon Mania,Brand X Organic,Agent,2024-01-01,2024-01-27,Instagram,Pan-India,Male,38,4.132,12.45260417,4.41,137059.2667,7.84,3490,101.34,10.538,13.71466667,8.828125,8.515625,10.33854167,1.93,62.55208333,13.10833333,CTR Dip,RoAS < 1,Creative Refreshed,Approved,383752.35,2024-02-20 00:00:00,2.715416667,4.41,62.41,38.79,37.90908333,70,15,37.63020833,47.67666667,N,0.24,Festive,2669806.09,660.37,6.21,31.69,Off-season,Y,N,Y,19.39666667,19.74761905,621,4.84,Scale Up
Campaign 4,CAMP0028,Festive Fiesta,Brand X Classic,Agent,2024-01-01,2024-01-28,LinkedIn,Tier-2,All,22,4.88,10.90767045,4.925090909,122321.0909,4.63,4860,637.0860795,12.16581818,13.39272727,8.153409091,6.846590909,12.35795455,8.217897727,18,11.90426136,RoAS Drop,Conv < 100,Budget Increased,Approved,355892.2204,2024-06-08 00:00:00,3.078181818,4.925090909,60,87.48,66.924,81.38,5,15,64.85615385,Y,0.23,Savings,1320279.63,742.21,14.3,31.57,Off-season,N,N,Y,19.57672727,19.74761905,750,5.26,Scale Up
Campaign 26,CAMP0029,Winter Warmth,Brand X Premium,Manual,2024-01-01,2024-01-29,YouTube,Tier-3,All,28,2.37,6.51,1.07,17671,6.33,4181,1939.06,10.88,4.26,11,17,22,9.96,71,24.08,CTR Dip,Conv < 100,Paused,Auto-resolved,425562.36,2024-02-15 00:00:00,34.18,141.49,313.96,30.98,110.51,15,3,27,23.84615385,Y,-0.24,Discount,129469.33,171.99,30.4,89.13,Festival,Y,N,Y,11.18,-16,90,1.11,Pause
Campaign 17,CAMP0030,Diwali Dhamaka,Brand X Classic,Manual,2024-01-01,2024-01-30,Instagram,Metro Cities,Male,29,2.82,20.23,4.63,92154,8.82,2022,1842.53,3.68,18.86,20,9,30,16.27,57,41.45,Budget Cap,CTR < 2%,Budget Increased,Auto-resolved,79595.75,2024-02-28 00:00:00,94.11,116.1,23.37,70.92,45.18,15,3,117,30,N,-0.02,Savings,1518091.59,87.35,3.29,96.69,Regular,Y,N,N,13.07,0,90,4.87,Scale Up
Campaign 46,CAMP0031,Festive Fiesta,Brand X Classic,Manual,2024-01-01,2024-01-31,Facebook,Pan-India,Female,39,2.67,18.19,4.33,14531,6.37,1740,1117.77,6.42,5.22,28,8,8,3.28,104,25.08,Budget Cap,Conv < 100,Paused,Approved,180594.02,2024-02-10 00:00:00,66.26,144.37,117.88,40.34,104.03,15,3,56,40,Y,-0.22,Savings,267303.22,352.4,17.19,93.1,Festival,N,N,Y,10.96,-21,91,4.52,Scale Up
Campaign 41,CAMP0032,Monsoon Mania,Brand X Premium,Agent,2024-01-01,2024-02-01,Instagram,Pan-India,All,47,8.78,15.58993056,4.09,119368.7111,6.81,4395.2,54.84,12.424,15.86,8.819444444,5,11,4.76,65.52083333,5.54,RoAS Drop,CTR < 2%,Budget Increased,Auto-resolved,282491.3004,2024-07-01 00:00:00,2.105555556,4.09,94.25,58.36,57.02161111,71.97,15,36,67.93307692,N,0.12,Festive,1086273.96,207.92,0.98,31.51,Off-season,Y,N,N,19.43644444,19.74761905,867,4.08,Scale Up
Campaign 45,CAMP0033,Festive Fiesta,Brand X Herbal,Manual,2024-01-01,2024-02-02,LinkedIn,Tier-2,Male,27,2.19,24.53,4.78,49880,1.16,3256,398.86,0.77,4.71,15,5,21,9.69,51,2.07,Conversion Slowdown,Budget > 80%,Bid Reduced,Pending,44637.59,2024-09-27 00:00:00,20.88,75.72,262.64,30.51,45.21,15,1,5,35.38461538,N,-0.23,Digital,1080385.34,459.87,9.45,99.19,Regular,N,N,Y,12.37,-17,91,4.68,Scale Up
Campaign 22,CAMP0034,Monsoon Mania,Brand X Classic,Manual,2024-01-01,2024-02-03,Google Ads,Tier-2,Female,18,2.83,17.5,3.61,95090,9.71,3967,1613.08,13.34,11.99,24,11,30,12.61,51,47.06,RoAS Drop,CTR < 2%,Budget Increased,Approved,227109.22,2024-02-25 00:00:00,66.17,126.66,91.42,68.27,58.39,15,3,17,49.23076923,N,-0.12,Savings,1934221.06,169.65,5.65,87.47,Regular,N,N,N,13.1,-16,91,3.65,Scale Up
Campaign 33,CAMP0035,Monsoon Mania,Brand X Herbal,Manual,2024-01-01,2024-02-04,LinkedIn,Pan-India,All,48,3.02,28.53,1.53,26423,4.22,3614,719.39,12.47,4.98,10,20,17,23.01,93,30.31,Conversion Slowdown,Conv < 100,Paused,Auto-resolved,397415.16,2024-11-21 00:00:00,9.12,124.32,1263.16,73.84,50.48,15,3,93,38.46153846,N,-0.23,NewLaunch,855934.07,650.47,19.66,87.61,Festival,N,N,Y,11.64,-26,92,1.61,Optimize
Campaign 40,CAMP0036,Diwali Dhamaka,Brand X Classic,Agent,2024-01-01,2024-02-05,Facebook,Tier-3,All,45,3.927333333,14.609375,4.858666667,131746.2667,3.64,3694.4,686.5895833,10.65,15.448,8.177083333,5,9.921875,8.544791667,65.234375,12.91770833,Conversion Slowdown,CTR < 2%,Budget Increased,Auto-resolved,316491.8527,2024-07-13 00:00:00,3.036666667,4.858666667,60,63.14,45.56933333,70,9,43.30729167,71.01,Y,0.25,Savings,227467.9,593.56,32.56,31.45,Regular,N,N,Y,19.84666667,19.74761905,499,4.11,Scale Up
Campaign 36,CAMP0037,Festive Fiesta,Brand X Organic,Manual,2024-01-01,2024-02-06,Google Ads,Tier-3,All,39,3.14,23.66,2.45,18123,6.02,192,1958.6,6.75,0.94,27,5,7,9.05,25,15.25,Conversion Slowdown,Budget > 80%,Budget Increased,Approved,465153.48,2024-03-19 00:00:00,68.08,79.98,17.48,67.55,12.43,15,2,78,42.30769231,Y,-0.29,Digital,413550.79,2427.57,1.21,94.42,Festival,N,Y,Y,11.21,-27,225,2.52,Optimize
Campaign 21,CAMP0038,Diwali Dhamaka,Brand X Classic,Manual,2024-01-01,2024-02-07,YouTube,Metro Cities,Female,19,3.38,31.46,3.74,66973,7.91,3324,1671.9,1.17,8.32,25,19,7,22.57,113,44.57,Conversion Slowdown,CTR < 2%,Budget Increased,Approved,52453.01,2024-04-18 00:00:00,20.5,103.69,405.8,55.32,48.37,15,1,114,51.53846154,Y,-0.18,Festive,1884953.13,338.28,6.68,98.96,Regular,N,N,N,12.7,-20,93,3.78,Scale Up
Campaign 28,CAMP0039,Diwali Dhamaka,Brand X Classic,Manual,2024-01-01,2024-02-08,Facebook,Tier-2,Male,29,4.36,6.56,3.73,13260,2.72,3868,1574.5,13.08,14.31,6,6,18,17.27,69,27.78,RoAS Drop,Conv < 100,Creative Refreshed,Approved,208555.06,2024-02-05 00:00:00,43.67,87.89,101.26,67.89,20,15,3,39,38.46153846,Y,-0.09,Digital,94988.04,50.06,37.16,87.12,Regular,N,N,N,10.85,-9,94,3.84,Scale Up
Campaign 20,CAMP0040,Festive Fiesta,Brand X X Core,Manual,2024-01-01,2024-02-09,Facebook,Pan-India,All,34,2.47,34.82,1.63,55778,4.94,995,578.62,4.77,1.04,12,12,30,19.51,39,36.43,Conversion Slowdown,RoAS < 1,Budget Increased,Pending,343021.71,2024-06-30 00:00:00,81.71,89.65,9.72,42.15,47.5,15,3,23,32.30769231,Y,-0.28,Festive,1656100.56,2854.9,2.27,95.03,Holiday,N,Y,Y,12.49,-23,94,1.76,Optimize
Campaign 11,CAMP0041,Summer Splash,Brand X Organic,Manual,2024-01-01,2024-02-10,Instagram,Tier-2,All,22,2.82,30.48,4.86,44970,5.87,4499,612.67,3.73,17.04,5,20,28,13.23,65,14.66,Budget Cap,Conv < 100,Paused,Auto-resolved,89280.27,2024-05-04 00:00:00,94.68,113.55,19.93,66.58,46.97,14.26,3,94,35.38461538,Y,-0.04,Discount,1469505.32,191.77,13.11,96.51,Regular,N,N,N,12.25,-4,95,4.65,Scale Up
Campaign 7,CAMP0042,Summer Splash,Brand X Organic,Manual,2024-01-01,2024-02-11,Facebook,Tier-2,All,28,4.16,34.41,3.42,7164,8.6,1121,1382.52,4.28,18.98,13,6,20,14.87,6,5.72,Budget Cap,RoAS < 1,Bid Reduced,Approved,338245.57,2024-11-08 00:00:00,89.77,116.01,29.23,38.95,77.06,15,3,20,44.61538462,Y,-0.02,Festive,280281.31,206.13,19.47,96.07,Off-season,N,N,N,10.15,0,95,3.64,Scale Up
Campaign 3,CAMP0043,Diwali Dhamaka,Brand X Herbal,Agent,2024-01-01,2024-02-12,YouTube,Tier-3,All,18,7.94,3.36,3.66848,76420.224,9.91,3619.328,683.95725,10.41536,13.64224,9.05,8.55,10.675,1.87,35,12.1955,RoAS Drop,RoAS < 1,Paused,Auto-resolved,437737.0099,2024-05-19 00:00:00,2.2928,3.66848,60,87.16,60.684,70,5,38.65,73.31769231,Y,0.08,Discount,162832.74,25.95,3.75,31.38,Holiday,Y,N,N,19.15648,19.74761905,501,1.93,Optimize
Campaign 22,CAMP0044,Winter Warmth,Brand X Herbal,Manual,2024-01-01,2024-02-13,YouTube,Tier-2,All,40,3.35,26.3,3.23,34222,4.89,1512,828.69,8.23,19.5,22,18,22,18.82,39,2.85,RoAS Drop,Conv < 100,Creative Refreshed,Pending,465255.8,2024-03-23 00:00:00,51.17,91.17,78.17,37.26,53.91,15,3,105,53.07692308,N,-0.01,Discount,1031958.12,154.64,4.91,93.31,Festival,Y,N,N,11.93,1,95,3.17,Scale Up
Campaign 18,CAMP0045,Diwali Dhamaka,Brand X Classic,Agent,2024-01-01,2024-02-14,YouTube,Metro Cities,Male,48,8.89,5.32,5.118545455,164057.9636,6.13,3721.890909,324.33,9.573090909,14.3,9.0625,7.414772727,8,7.011931818,61.10795455,15.22897727,Fatigue Detected,Conv < 100,Paused,Auto-resolved,421919.64,2024-10-07 00:00:00,3.199090909,5.118545455,60,60.84,74.85,70,6,6,65.17666667,N,0.2,Festive,228837.38,30.26,9.72,31.37,Off-season,Y,N,N,20.14327273,19.74761905,1078,4.57,Scale Up
Campaign 21,CAMP0046,Diwali Dhamaka,Brand X Premium,Manual,2024-01-01,2024-02-15,Facebook,Tier-3,Male,55,3.07,10.7,3.24,26826,5.52,3371,1090.22,0.14,13.76,20,10,20,15.64,77,42.15,RoAS Drop,RoAS < 1,Creative Refreshed,Pending,450087.13,2024-02-07 00:00:00,30.41,62.01,103.91,36.21,25.8,15,0,86,38.46153846,N,-0.09,NewLaunch,334432.5,90.6,18.47,99.86,Festival,N,N,N,11.66,0,95,3.32,Scale Up
Campaign 15,CAMP0047,Diwali Dhamaka,Brand X Classic,Manual,2024-01-01,2024-02-16,LinkedIn,Tier-3,All,18,3.2,15.19,2.99,1378,5.32,3904,1095.09,3.6,0.54,25,6,25,14.52,108,34.2,Conversion Slowdown,Budget > 80%,Paused,Approved,265026.4,2024-02-27 00:00:00,46.17,66.58,44.21,67.41,-0.83,15,3,87,43.84615385,Y,-0.29,Premium,17736.47,2383.55,100,96.32,Festival,N,Y,Y,8.26,-30,95,3.06,Optimize
Campaign 10,CAMP0048,Summer Splash,Brand X X Core,Manual,2024-01-01,2024-02-17,Facebook,Tier-2,Male,49,3.01,29.12,0.8,90414,7.49,4717,1166.69,9.9,12.43,24,20,7,4.9,155,27.49,RoAS Drop,RoAS < 1,Paused,Approved,432680.86,2024-07-02 00:00:00,83.21,100.5,20.78,42.29,58.21,15,3,72,48.46153846,N,-0.11,Festive,2786360.83,247.93,6.5,90.12,Off-season,N,N,N,13.05,4,96,0.82,Pause
